"Avg power","CPU freq","Memory freq"
2.651609,1000,200
2.659366,1000,300
2.685416,1000,400
2.706288,1000,500
2.703965,1100,200
2.718799,1100,300
2.741007,1100,400
2.764999,1100,500
2.755909,1200,200
2.769270,1200,300
2.797809,1200,400
2.823287,1200,500
3.028582,1300,200
3.066104,1300,300
3.100189,1300,400
3.132840,1300,500
3.090009,1400,200
3.128389,1400,300
3.170334,1400,400
3.198083,1400,500
2.444491,600,200
2.441495,600,300
2.458267,600,400
2.485860,600,500
2.508662,700,200
2.507239,700,300
2.520354,700,400
2.534310,700,500
2.551293,800,200
2.554353,800,300
2.576874,800,400
2.598153,800,500
2.603190,900,200
2.607039,900,300
2.631881,900,400
2.647687,900,500
